title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
Tesla Model S,Tesla Model S,https://en.wikipedia.org/wiki/Tesla_Model_S,2026-06-15T07:16:35Z,1358978070,97a3dffadd10c994388b5ce69356e8595bdd91c1423e1f9ebf8306128e73e233,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla_Model_S.md
Tesla Model 3,Tesla Model 3,https://en.wikipedia.org/wiki/Tesla_Model_3,2026-06-15T07:16:36Z,1359429644,1062d39d3e8152e3a2a881aef69b1c1c1a80b896875547d37ebc50253d5414da,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla_Model_3.md
Tesla Model X,Tesla Model X,https://en.wikipedia.org/wiki/Tesla_Model_X,2026-06-15T07:16:37Z,1358978120,99926cb2219c5b57c2e1f30d3bd0f5290e70ac9761b895b801986c19b9a9d0c3,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla_Model_X.md
Tesla Model Y,Tesla Model Y,https://en.wikipedia.org/wiki/Tesla_Model_Y,2026-06-15T07:16:39Z,1359430468,2b1b542dd220ae6f1273a1a5b44f794df91cbf7a832b7c08115bd834245493f6,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla_Model_Y.md
Cybertruck,Tesla Cybertruck,https://en.wikipedia.org/wiki/Tesla_Cybertruck,2026-06-15T07:16:40Z,1358427430,81aae32b086ebcd54f5c70b1d7b9fc0379bf664cc5c890b194592a925b20cc90,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla_Cybertruck.md
Supercharger,Supercharger,https://en.wikipedia.org/wiki/Supercharger,2026-06-15T07:16:42Z,1356203916,cb604b8ade9e44cbca913f9c1f328d3fd762844a1755f086ef8407137fcc3a4e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Supercharger.md
Autopilot,Autopilot,https://en.wikipedia.org/wiki/Autopilot,2026-06-15T07:16:43Z,1342840009,11550916d6a93d5485711138c618ee3f612f98fe9297614ddb7614213fd19406,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Autopilot.md
SpaceX Starship,SpaceX Starship,https://en.wikipedia.org/wiki/SpaceX_Starship,2026-06-15T07:16:45Z,1359361130,f21068009782d6870067af7851579c672c3952a3065cd3fde4da2c43df4b85b9,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SpaceX_Starship.md
Dragon 2,SpaceX Dragon 2,https://en.wikipedia.org/wiki/SpaceX_Dragon_2,2026-06-15T07:16:46Z,1358616049,968e624f5e430d32d966f45e9e9e3b36f170a8ed084fe8e0f33cf7edf41528d8,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SpaceX_Dragon_2.md
International Space Station,International Space Station,https://en.wikipedia.org/wiki/International_Space_Station,2026-06-15T07:16:48Z,1358928240,2aa3e1a45174eee298c939c21c01e0e98634f7a71294ddb53df8d20f4f5de901,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/International_Space_Station.md
